id,Taste,Canonical SMILES,Canonicalized Taste Intermediary,Canonicalized Taste,Canonicalized SMILES,Source,Original Labels
PMTDB00820,bitter; acrid; pungent,CC(=CCO)COC1C(C(C(C(O1)COC(=O)C2=CC=C(C=C2)O)O)O)O,bitter,bitter,CC(=CCO)COC1OC(COC(=O)c2ccc(O)cc2)C(O)C(O)C1O,phytocompounds_db,bitter; acrid; pungent
PMTDB00821,bitter; acrid; pungent,CC1CC(CC(=O)O1)OC2C(C(C(C(O2)CO)O)O)OC(=O)CC3=CC(=C(C=C3)O)O,bitter,bitter,CC1CC(OC2OC(CO)C(O)C(O)C2OC(=O)Cc2ccc(O)c(O)c2)CC(=O)O1,phytocompounds_db,bitter; acrid; pungent
PMTDB00822,bitter,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)COC4C(C(CO4)(CO)O)O)O)O)O,bitter,bitter,COc1cc2ccc(=O)oc2cc1OC1OC(COC2OCC(O)(CO)C2O)C(O)C(O)C1O,phytocompounds_db,bitter
PMTDB00823,bitter (insufficient evidence); sharp (insufficient evidence),CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,bitter,bitter,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,phytocompounds_db,bitter (insufficient evidence); sharp (insufficient evidence)
PMTDB00824,bitter (insufficient evidence),CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C5=C2C1=C6C(=CC(=O)C7=C(C8=C(C=C(C4=C8C5=C67)O)O)O)C)O)O)O,bitter,bitter,Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78,phytocompounds_db,bitter (insufficient evidence)
PMTDB00825,astringent; non bitter,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,bitter,bitter,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,phytocompounds_db,astringent; non bitter
PMTDB00826,bitter,CC12CCC3C(C14C(O4)C(=O)OC2C5=COC=C5)(C(=O)CC(C36COC(=O)CC6O)C(C)(C)O)C,bitter,bitter,CC(C)(O)C1CC(=O)C2(C)C(CCC3(C)C(c4ccoc4)OC(=O)C4OC432)C12COC(=O)CC2O,phytocompounds_db,bitter
PMTDB00827,"pungent (tingling, hot, irritating); umami",C1CCN(CC1)C(=O)C=CC2=CC3=C(C=C2)OCO3,undefined,undefined,O=C(C=Cc1ccc2c(c1)OCO2)N1CCCCC1,phytocompounds_db,"pungent (tingling, hot, irritating); umami"
PMTDB00828,bitter,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1(C)O)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O,bitter,bitter,CC1CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1(C)O,phytocompounds_db,bitter
PMTDB00829,bitter,CC1CCC2C(C3CCC4C(C3CN2C1)CC5C4CC(=O)C6C5(CCC(C6)O)C)(C)O,bitter,bitter,CC1CCC2N(C1)CC1C3CC4C(CC(=O)C5CC(O)CCC54C)C3CCC1C2(C)O,phytocompounds_db,bitter
PMTDB00830,bitter,C1=CC=C2C(=C1)C(=CN2)OC3C(C(C(C(O3)CO)O)O)O,bitter,bitter,OCC1OC(Oc2c[nH]c3ccccc23)C(O)C(O)C1O,phytocompounds_db,bitter
PMTDB00831,astringent,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,undefined,undefined,O=C(O)Cc1c[nH]c2ccccc12,phytocompounds_db,astringent
PMTDB00832,bitter,C1CC2=CC(=O)N3C4=CC=CC=C4C5=C3C2=[N+](C1)C=C5.[Cl-],bitter,bitter,O=c1cc2c3c4c(cc[n+]3CCC2)c2ccccc2n14.[Cl-],phytocompounds_db,bitter
PMTDB00833,sweet,C1(C(C(C(C(C1O)O)O)O)O)O,sweet,sweet,OC1C(O)C(O)C(O)C(O)C1O,phytocompounds_db,sweet
PMTDB00834,sweet,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)COC4(C(C(C(O4)CO)O)O)COC5(C(C(C(O5)CO)O)O)COC6(C(C(C(O6)CO)O)O)COC7(C(C(C(O7)CO)O)O)COC8(C(C(C(O8)CO)O)O)COC9(C(C(C(O9)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)CO)O)O)O)O,sweet,sweet,OCC1OC(OC2(COC3(COC4(COC5(COC6(COC7(COC8(COC9(COC%10(COC%11(COC%12(COC%13(COC%14(COC%15(COC%16(COC%17(COC%18(COC%19(COC%20(COC%21(COC%22(COC%23(COC%24(COC%25(COC%26(COC%27(COC%28(COC%29(COC%30(COC%31(COC%32(COC%33(COC%34(COC%35(COC%36(COC%37(COC%38(CO)OC(CO)C(O)C%38O)OC(CO)C(O)C%37O)OC(CO)C(O)C%36O)OC(CO)C(O)C%35O)OC(CO)C(O)C%34O)OC(CO)C(O)C%33O)OC(CO)C(O)C%32O)OC(CO)C(O)C%31O)OC(CO)C(O)C%30O)OC(CO)C(O)C%29O)OC(CO)C(O)C%28O)OC(CO)C(O)C%27O)OC(CO)C(O)C%26O)OC(CO)C(O)C%25O)OC(CO)C(O)C%24O)OC(CO)C(O)C%23O)OC(CO)C(O)C%22O)OC(CO)C(O)C%21O)OC(CO)C(O)C%20O)OC(CO)C(O)C%19O)OC(CO)C(O)C%18O)OC(CO)C(O)C%17O)OC(CO)C(O)C%16O)OC(CO)C(O)C%15O)OC(CO)C(O)C%14O)OC(CO)C(O)C%13O)OC(CO)C(O)C%12O)OC(CO)C(O)C%11O)OC(CO)C(O)C%10O)OC(CO)C(O)C9O)OC(CO)C(O)C8O)OC(CO)C(O)C7O)OC(CO)C(O)C6O)OC(CO)C(O)C5O)OC(CO)C(O)C4O)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,phytocompounds_db,sweet
PMTDB00835,bitter,CC(C1C23C(O2)C4C5C(C(C6C(C5(C3=CC(=O)O1)C)O6)O)(C(=O)O4)C)O,bitter,bitter,CC(O)C1OC(=O)C=C2C3(C)C4OC4C(O)C4(C)C(=O)OC(C43)C3OC213,phytocompounds_db,bitter
PMTDB00836,bitter (insufficient evidence),CC1(CCC2(C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O)O,bitter,bitter,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C)(O)CCC12O,phytocompounds_db,bitter (insufficient evidence)
PMTDB00837,bitter,CC(C)CC(=O)CC1(CCC(O1)C2=COC=C2)C,bitter,bitter,CC(C)CC(=O)CC1(C)CCC(c2ccoc2)O1,phytocompounds_db,bitter
PMTDB00838,pungent (insufficient evidence),CC1=CCCC2=CC(C3C(C1)OC(=O)C3=C)OC2=O,undefined,undefined,C=C1C(=O)OC2CC(C)=CCCC3=CC(OC3=O)C12,phytocompounds_db,pungent (insufficient evidence)
PMTDB00839,bitter,CCC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,bitter,bitter,CCC(C)C(=O)C1=C(O)C(O)(C(=O)CC=C(C)C)C(CC=C(C)C)C1=O,phytocompounds_db,bitter
PMTDB00840,bitter,CCC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O[Si](C)(C)C)O[Si](C)(C)C,bitter,bitter,CCC(C)C(=O)C1=C(O[Si](C)(C)C)C(O[Si](C)(C)C)(C(=O)CC=C(C)C)C(CC=C(C)C)C1=O,phytocompounds_db,bitter
PMTDB00841,pungent (insufficient evidence),CC12CCCC(=C)C1CC3C(C2)OC(=O)C3=C,undefined,undefined,C=C1C(=O)OC2CC3(C)CCCC(=C)C3CC12,phytocompounds_db,pungent (insufficient evidence)
PMTDB00842,sweet; fruity,CC(C)CCOC(=O)C1=CC=CC=C1,sweet,sweet,CC(C)CCOC(=O)c1ccccc1,phytocompounds_db,sweet; fruity
